"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:b85a28740c1e212bac1bd3db35703170","Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214."
"ad-hoc-checklist:taxon:b96cbe74cc88419676d4047e66d618ec","Kekenbosch, J. & Baert, L. 1978. Araignées nouvelles pour la faune de Belgique. Bulletin et Annales de la Société Royal Belge d’ Entomologie, 114 : 59-61."
"ad-hoc-checklist:taxon:b9fc62a253ab524c2476c2e8d43e240c","Jooris & Lehouck 2007. De Muurhagedis in Vlaandern.  Natuur.Focus 6(4): 123-129"
"ad-hoc-checklist:taxon:bb1c4a50f74ce151585aa1efdf192cfc","Janssen, M. 1999. De ""redback"" (Latrodectus hasselti) in Limburg: verslag van een mogelijke kolonisatie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 14(2-3):83-85."
"ad-hoc-checklist:taxon:bc1b55c9d06e08d1c4c651ecf7617414","Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176."
"ad-hoc-checklist:taxon:bcce604267423bc36610e9a0d26050c8","Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:bfc3137d99492e3fb38e10b06e922e5d","Holsbeek et al. 2008, 2009, 2010"
"ad-hoc-checklist:taxon:c0af8317c4a94dd75f08a81b62a6012c","Van Keer, K. 2011 Exotische spinnen in België. Een stand van zaken en recente trends. Natuur.focus, 10(3): 96-103."
"ad-hoc-checklist:taxon:c46260232c6e4c8b3e120f11879ed643","Dekoninck W, Wegnez P, Espadaler X & Grootaert P, 2006. First record of infestation of the ghost ant Tapinoma melanocephalum (Fabricius, 1793) in Belgium (Hymenoptera, Formicidae) – a new indoor pest problem for the country? Bulletin S.R.B.E./K.B.V.E., 142: 25-28."
"ad-hoc-checklist:taxon:c51380eefab3f3896a853985f15e661f","https://www.nieuwsblad.be/cnt/nbra07062003_005"
"ad-hoc-checklist:taxon:c51fb9a4d574c806070926f8dffd65dd","Henrard, A., Van Keer, J. & Jocqué, R. (2014). On the spider species Oecobius amboseli Shear & Benoit, 1974 (Araneae; Oecobiidae) newly found in Belgium and Rwanda. Nieuwsbrief van de Belgische Arachnologische Vereniging, 29(1,2): 1-8."
"ad-hoc-checklist:taxon:c64bec53badde2a6548c32bb71cea9c5","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:c7ffb9de1e24c11fda9767eafbcf0b41","Van Keer, K. & Van Keer, J. 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16(3):81-86."
"ad-hoc-checklist:taxon:c91e880552f1f8ede919b30c1e2eb3d0","Huyse T, Vanhove MPM, Mombaerts M, Volckaert FAM, Verreycken H (2015) Parasite introduction with an invasive goby in Belgium: double trouble? Parasitology Research 114: 2789-2793. https://doi.org/10.1007/s00436-015-4544-6"
"ad-hoc-checklist:taxon:c9e64e9e1afad4652612a43d974efa15","Blank SM et al. (2014) Zig-zagging across Central Europe: recent range extension, dispersal speed and larval host of Aproceros leucopoda (Hymenoptera, Argidae) in Germany. Journal of Hymenoptera Research 41: 57-74. https://doi.org/10.3897/JHR.41.8681 "
"ad-hoc-checklist:taxon:c9e64e9e1afad4652612a43d974efa15"," Boevé J-L (2014) 7. Bulletin de la Société Royale Belge d’Entomologie 149: 217–221."
"ad-hoc-checklist:taxon:cac40407b241103daa3d00f859163d1e","Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214."
"ad-hoc-checklist:taxon:cbc621cdddef2ca3b912d5d401b85fc5","www.formicidae-atlas.be"
"ad-hoc-checklist:taxon:cc6a0ac2a41ab983761c9857dd7cf1d6","Van Keer, K., De Koninck, H., Vanuytven, H. & Van Keer, J. 2006. Some -mostly southern European- spider species (Araneae), new or rare to the Belgian fauna, found in the city of Antwerp. Nieuwsbrief van de Belgische Arachnologische Vereniging, 21(2):33-40."
"ad-hoc-checklist:taxon:cd3ce9b4a8e7ca936a3dc81818c2dd67","Bosselaers, J., 2013. An alien in the grapes: a potentially agressive African spider imported into Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging, 28: 22-28."
"ad-hoc-checklist:taxon:cf2587b2a61406e8c5b62d58ca4ef041","observation unpubl."
"ad-hoc-checklist:taxon:cfeedb2cfa86539e5c5641d7fb5b3e31","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:d03d9f43ca4ec58282c507d4ea3c3982","Chérot, F., Aukema,B., Bruers,J.& Viskens,G. (2011) Exotic species of Aradidae nad Miridae recently found in Antwerp harbour, bull KBVE 147: 15-19"
"ad-hoc-checklist:taxon:d107541ddf00b89510d4ed27718ea868","DEKONINCK W. & BROUCKAERT D., 2011. Paratrechina longicornis an introduced ant in a subtropicaswimming pool infrastructure in Belgium. Bulletin S.R.B.E./K.B.V.E., 147: 99-101."
"ad-hoc-checklist:taxon:d218ae2f2746927a77133b6f05098ba6","Proesmans, W., & De Smedt, P. (2015). The millipede Cylindroiulus britannicus (Verhoeff, 1891) new for the Belgian fauna (Diplopoda: Julidae). Bulletin de la Société royale belge d’Entomologie, 151, 239-242."
"ad-hoc-checklist:taxon:d27577822d75aedd1132c4ec3d65e35e","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:d4e86c8fbef815b460fa6a2cecfd853c","Vandamme N, Waeyenberge L, Viaene N (2013) First report of the root-knot nematode Meloidogyne artiellia in Belgium. Plant Disease 97: 152. https://doi.org/10.1094/PDIS-08-12-0720-PDN"
"ad-hoc-checklist:taxon:d6fdc55ea1a9f818bc6246d8e536860c","Anonymus 2008"
"ad-hoc-checklist:taxon:d7b0e4dbe8bf079433b07a3371a835e3","Lambeets, K., Bosmans, R. & Bonte, D. 2007. Two exotic spider species (Araneae), Zoropsis spinimana (Zoropsidae) and Saitis barbipes (Salticidae), recently found in the inner city of Ghent (Belgium). Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):55-60."
"ad-hoc-checklist:taxon:d7f4387673301568389f6e949ed95abd","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:d850eeb2d70f3fc8e4944e905d41026d","Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176."
"ad-hoc-checklist:taxon:d87689e16d492585c2a7365eb32b3d6c","Vanuytven, H. 2004. Achaearanea acoreensis (Berland, 1932), een zuiderse immigrant (Araneae, Theridiidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 19(3):85-86."
"ad-hoc-checklist:taxon:d8de2f852b7b06995f32cd75b2c47430","Van Keer, K., De Koninck, H., Vanuytven, H. & Van Keer, J. 2006. Some -mostly southern European- spider species (Araneae), new or rare to the Belgian fauna, found in the city of Antwerp. Nieuwsbrief van de Belgische Arachnologische Vereniging, 21(2):33-40."
"ad-hoc-checklist:taxon:da765e0230e3c40c6656053214d14819","Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41."
"ad-hoc-checklist:taxon:db99e8119422ddc742ef2de79177d4d0","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:dce10e8bc6fb8c588cf80a3edb89225d","Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief Belgische Arachnologische Vereniging 25(3): 210-214."
"ad-hoc-checklist:taxon:dd5343601430de4c32e8b6f1f9eb4344","Lock, K. (2017) Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153 (2017): 21–22"
"ad-hoc-checklist:taxon:ddaea340c2183ad98505710870b944d0","Van den Berge Zoogdier http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:dddeed7502b2940f086dc794028721a9","Stieperaere & Jacques 1995"
"ad-hoc-checklist:taxon:ddf4bcb8ca7153492a374de1d2c9610f","in press Natuur.focus"
"ad-hoc-checklist:taxon:dea0657a2a7eda7140f1921090f7ab78","https://waarnemingen.be/waarneming/view/80562225"
"ad-hoc-checklist:taxon:e0169cc85d5aea0fe1161b46c70d0fed","Vanuytven, H. 2000. Spermophora senoculata (Dugés, 1836), alweer een in België ingevoerde soort (Araneae: Pholcidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 15(1):1-2."
"ad-hoc-checklist:taxon:e17571eb10bca912ee4fb362f9c35e41","Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83."
"ad-hoc-checklist:taxon:e1ca333250a7bbcf63f6bb9f19a443f3","Chérot, F., Aukema,B., Bruers,J.& Viskens,G. (2011) Exotic species of Aradidae nad Miridae recently found in Antwerp harbour, bull KBVE 147: 15-19"
"ad-hoc-checklist:taxon:e4448c620b9c329c07428d722f3c1abb","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:e4767777c4d1e94538c62b90e4668ef8","Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging, 25(3): 210-214."
"ad-hoc-checklist:taxon:e4c85b7c26b7df03f3ddd626f84ba9bd","Benoit, P.L.G. 1968. La présence en Belgique d'araignées vénimeuses du genre Latrodectus Walck. Africa Tervuren XIV."
"ad-hoc-checklist:taxon:e50649bdec5fb43cbe599641cd834d15","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:e699d3114bfa375038c6698743598620","Polk PH, Van Oye P (1956) Studie der Landisopoden in België: systematisch-oecologisch. Licenciaatsverhandeling 1956. Universiteit Gent."
"ad-hoc-checklist:taxon:e76bd6a6d82e39e76d34740cd31c00b0","Lambrechts, J. & Janssen, M. 2001. De arachnofauna van het Vlaams natuurreservaat 'Houterenberg-Pinnekenswijer'. Nieuwsbrief van de Belgische Arachnologische Vereniging, 13(3):87-100."
"ad-hoc-checklist:taxon:e7d3fc62301eef1c2b46d0ded7615874","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:e8a88ae0e085e72fdc049f31dddb3bca","Anonymus 2008"
"ad-hoc-checklist:taxon:e93d1e633e1d78b8a725cdb29668660f","Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83."
"ad-hoc-checklist:taxon:e969f81b0a7049af98a682e85cbea72b","Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83."
"ad-hoc-checklist:taxon:eb9b1858b353ce5028d3e0e4d356f380","Kekenbosch, R. 2008. Un cas de morsure de Selenops radiatus Latreille, 1819 (Araneae: Selenopidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):28-29."
"ad-hoc-checklist:taxon:ece234bdbb54323fdb2c05c505b77b43","Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41."
"ad-hoc-checklist:taxon:efaa99b34f74cb35f6a894dd4e095532","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:efd7ac1c000b52fb4c231545c248a0aa","Versteirt et al. (2009) Introduction and Establishment of the Exotic Mosquito Species Aedes japonicus japonicus (Diptera: Culicidae) in Belgium. J. Med. Entomol. 46(6): 1464-1467 (2009)"
"ad-hoc-checklist:taxon:f2e3aac8f005eda56151fbf4fa99bcac","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:f7fc1d2901039cb0c8b4e0e7165b7979","observation:"
"ad-hoc-checklist:taxon:f8b9189b432e502399002f56b4cff32f","Jacques & Lambinon 1968, Stieperaere & Jacques 1995"
"ad-hoc-checklist:taxon:faa2afdbb8ff1cd5d9e791268d4b898a","Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België."
"ad-hoc-checklist:taxon:fc53be12ef87fde4cb74087d0474c954","Bondroit 1911"
"ad-hoc-checklist:taxon:fd22982b6c7c220cfc6006be6537570f","Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België."
"ad-hoc-checklist:taxon:fd7ba9fb9a20f36e1e97a7ffafe5dd07","observation, https://waarnemingen.be/waarneming/view/149645919?_popup=1"
