"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:31e12d702c28ef0b797d3f39cfcab976","Casaer, J., Boone, N., Devisscher, S., Vercammen J., Adriaens T. (2015). Best practice voor beheer van Chinese muntjak Muntiacus reevesi in Vlaanderen. Rapporten van het Instituut voor Natuur- en Bosonderzoek 2015 (INBO.R.2015.7092003). Instituut voor Natuur- en Bosonderzoek, Brussel."
"ad-hoc-checklist:taxon:37885a337af00efc076376cf1343a4bd","De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112."
"ad-hoc-checklist:taxon:39806b809b84dc016ff8fe58d2ba9f09","Adriaens, T., and G. De Knijf. 2015. A first report of introduced non-native damselfly species (Zygoptera, Coenagrionidae) for Belgium. Belg. J. Zool 145:76-80."
"ad-hoc-checklist:taxon:3cd9d674e6efc1419ca4ddcf6d3310cc","http://www.hylawerkgroep.be/files/0048/hyla_flits_017_censuur.pdf"
"ad-hoc-checklist:taxon:3d231d6aede2e0b49cb4440bfba6cbfa","Alderweireldt, M. 2002. Reizende Salticidae: Pellenes geniculatus (Simon, 1868) nieuw voor de Belgische fauna (Araneae, Salticidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 17(3):65-66."
"ad-hoc-checklist:taxon:3dc038b673ba44a98b4b8bfe262ed2e4","Dekoninck W, Parmentier T & Seifert B, 2016. First records of a supercolonial species of theTapinoma nigerrimumcomplex in Belgium (Hymenoptera : Formicidae).Bulletin S.R.B.E./K.B.V.E, 151: 206-209."
"ad-hoc-checklist:taxon:3dcdd53f09b2fbd82a2139d4d5ea6f18","De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112."
"ad-hoc-checklist:taxon:3e97a44950bd62d52d2239c25dbf5a36","Lambeets, K., Bosmans, R. & Bonte, D. 2007. Two exotic spider species (Araneae), Zoropsis spinimana (Zoropsidae) and Saitis barbipes (Salticidae), recently found in the inner city of Ghent (Belgium). Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):55-60."
"ad-hoc-checklist:taxon:3f3e6f15a42bf1a1a5f6393e899f08f6","Anonymus 2008"
"ad-hoc-checklist:taxon:407ef731b9da5c9d21c9ce33eb5236d3","Coulon, G. (1994). Sur la decouverte en Belgique du Stelidota geminata (Say, 1825)(Coleoptera, Nitidulidae). In Bulletin et Annales de la Société Royal Belge d’Entomologie (Vol. 130, pp. 114-115)."
