"language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","order","family","genus","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:0c00a7f95bf886620aaf230ef19c4702","Tetramorium bicarinatum (Nylander, 1846)","Animalia","Arthropoda","Hymenoptera","Formicidae","Tetramorium","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:314aeef7f38b0f092d5f40fbf139df9c","Tetraponera allaborans (Walker, 1859)","Animalia","Arthropoda","Hymenoptera","Formicidae","Tetraponera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:73ea2c71df8bc15f9173f693e5197a82","Plagiolepis pygmaea (Latreille, 1798)","Animalia","Arthropoda","Hymenoptera","Formicidae","Plagiolepis","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:e05ab634ff279f40c68efb49a827234a","Pheidole anastasii Emery, 1896","Animalia","Arthropoda","Hymenoptera","Formicidae","Pheidole","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:46f75db2bfca28104a610984172f1d16","Paratrechina longicornis (Latreille, 1802)","Animalia","Arthropoda","Hymenoptera","Formicidae","Paratrechina","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:10b25b3a18eaac42cac983b0ad76cf5b","Ischnura senegalensis Rambur, 1842","Animalia","Arthropoda","Odonata","Coenagrionidae","Ischnura","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:e90ab1c2346eb4d804222a191bbd39c9","Pseudagrion microcephalum Rambur, 1842","Animalia","Arthropoda","Odonata","Coenagrionidae","Pseudagrion","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:aa90d71599ed98710da1e2c4a133e5d2","Aedes koreicus (Edwards, 1917)","Animalia","Arthropoda","Diptera","Culicidae","Aedes","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:4edb32d40c8a14a2e86435dbc9a756e0","Aedes japonicus (Theobald, 1901)","Animalia","Arthropoda","Diptera","Culicidae","Aedes","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:bf2792a884b3220f132d1e16ec6480b3","Anopheles pharoensis Theobald, 1901","Animalia","Arthropoda","Diptera","Culicidae","Anopheles","species","ICZN"
