"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"ad-hoc-checklist:taxon:cb465745bfbf721b494dd74e22889c42","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:cbc621cdddef2ca3b912d5d401b85fc5","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1911/2018","www.formicidae-atlas.be"
"ad-hoc-checklist:taxon:cc6a0ac2a41ab983761c9857dd7cf1d6","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2006/2013",
"ad-hoc-checklist:taxon:cd3ce9b4a8e7ca936a3dc81818c2dd67","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2013/2013",
"ad-hoc-checklist:taxon:cd8d4524ce7bf919da62ce2114b45854","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:cde95df9dfc4b76a4c5bdfba64a375db","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:cf2587b2a61406e8c5b62d58ca4ef041","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2016/2016",
"ad-hoc-checklist:taxon:cfeedb2cfa86539e5c5641d7fb5b3e31","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1985/2004",
"ad-hoc-checklist:taxon:d03d9f43ca4ec58282c507d4ea3c3982","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2008/2018",
"ad-hoc-checklist:taxon:d0f9a569b44817fec7ce778a819feb2d","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:d107541ddf00b89510d4ed27718ea868","ISO_3166-2:BE","Belgium","BE","present","introduced","1980/2018",
"ad-hoc-checklist:taxon:d218ae2f2746927a77133b6f05098ba6","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2015-10-23/2015-11-11",
"ad-hoc-checklist:taxon:d27577822d75aedd1132c4ec3d65e35e","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2014/2015",
"ad-hoc-checklist:taxon:d4e86c8fbef815b460fa6a2cecfd853c","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2011/2018","https://doi.org/10.1094/PDIS-08-12-0720-PDN"
"ad-hoc-checklist:taxon:d6f5cda5bf0bb9fc969bca9788ba90b5","ISO_3166-2:BE-BRU","Brussels-Capital Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:d6f5cda5bf0bb9fc969bca9788ba90b5","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:d6fdc55ea1a9f818bc6246d8e536860c","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2005/2018",
"ad-hoc-checklist:taxon:d7b0e4dbe8bf079433b07a3371a835e3","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2006/2009",
"ad-hoc-checklist:taxon:d7b0e4dbe8bf079433b07a3371a835e3","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2013/2013",
"ad-hoc-checklist:taxon:d7f4387673301568389f6e949ed95abd","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2014/2014",
