scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
"Coleosoma floridanum Banks, 1900",Animalia,Arthropoda,Arachnida,,Theridiidae,Coleosoma,species,ICZN,Flanders,BE,present,2014,2015,reproducing,,In tropically heated reptile pavilion at Antwerp Zoo (2014). In shipment from the Democratic Republic of Congo (2015),"North, Central and South America",terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-10,Koen Van Keer,Koen Van Keer
"Cryptachaea veruculata (Urquhart, 1886)",Animalia,Arthropoda,Arachnida,,Theridiidae,Cryptachaea,species,ICZN,Flanders,BE,present,1992,1992,casual,,,Australia,terrestrial,"Van Keer, J. 1992. Achaearanea veruculata (Urquhart, 1885): nieuw voor België of toevallige gast? Nieuwsbrief van de Belgische Arachnologische Vereniging, 8(1):21.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Cupiennus getazi Simon, 1891",Animalia,Arthropoda,Arachnida,,Ctenidae,Cupiennius,species,ICZN,Flanders,BE,present,1991,1991,casual,,With banana shipment,"Costa Rica, Panama",terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Erigone dentosa O. Pickard-Cambridge, 1894",Animalia,Arthropoda,Arachnida,,Linyphiidae,Erigone,species,ICZN,Flanders,BE,present,2012,2012,casual,,In pitfall on cemetary,USA to Guatemala,terrestrial,"Kekenbosch, R. & Baert, L. 2013. Découverte d’Erigone dentosa (O.P.- Cambridge, 1894) (Araneae: Linyphiidae, Erigoninae) en Belgique. Nieuwsbrief van de Belgische Arachnologische Vereniging, 28(1,2): 32-34.",rare,,,2018-08-10,Koen Van Keer,Koen Van Keer
"Euryopis episinoides (Walckenaer, 1847)",Animalia,Arthropoda,Arachnida,,Theridiidae,Euryopis,species,ICZN,Flanders,BE,present,2002,2002,casual,,In wood waste heap in shed of aluminium works,"Mediterranean to Turkey, Israel",terrestrial,"Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Evarcha jucunda (Lucas, 1846)",Animalia,Arthropoda,Arachnida,,Salticidae,Evarcha,species,ICZN,Flanders,BE,present,1995,1995,casual,,On external wall of house (resident just returned from France),Canary Is. to Turkey,terrestrial,"Alderweireldt, M. 1996. Evarcha jucunda (Lucas), nieuw voor de Belgische fauna (Araneae: Salticidae): introductie, zwerver of noordwaartse areaalsuitbreiding. Nieuwsbrief van de Belgische Arachnologische Vereniging, 11(3):79-80.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Grammostola rosea (Walckenaer, 1837)",Animalia,Arthropoda,Arachnida,,Theraphosidae,Grammostola,species,ICZN,Flanders,BE,present,2008,2008,casual,stowaway_container,In container from unknown destination in Antwerp harbour,"Bolivia, Chile, Argentina",terrestrial,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging, 25(3): 210-214.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Hadrotarsus ornatus Hickman, 1943",Animalia,Arthropoda,Arachnida,,Theridiidae,Hadrotarsus,species,ICZN,Flanders,BE,present,1999,1999,casual,,In rubble in shed of tent company,Tasmania,terrestrial,"Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Haplodrassus securifer Bosmans & Abrous, 2018",Animalia,Arthropoda,Arachnida,,Gnaphosidae,Haplodrassus,species,ICZN,Flanders,BE,present,1992,1992,casual,,In pitfall on mine slag heap,Mediterranean & Portugal,terrestrial,"Janssen, M. 1996. Merkwaardige spinnenfauna op de mijnterril te Waterschei (Limburg, België). Likona Jaarboek, 1996:37-44.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Hasarius adansoni (Audouin, 1826)",Animalia,Arthropoda,Arachnida,,Salticidae,Hasarius,species,ICZN,Flanders,BE,present,2001,2012,established,,Up to now (2018) always in or on heated buildings,Africa,terrestrial,"Kekenbosch, R. 2008. Captures d'Hasarius adansoni (Audoin, 1826) et de Thanatus vulgaris (Simon, 1870). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):26-27.",occasional,,,2018-05-03,Tim Adriaens,Koen Van Keer
